Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion ,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,fast,1690.09,49,143,48.2,0.98962783,0.767142645
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,medium,2563.09,50.875,147,47.72,0.989812987,0.765238494
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,slow,4329.02,51.25,150,48.44,0.990156051,0.781311531
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,slower,9901.95,49.25,144,48.54,0.990212302,0.786035894
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,superfast,1117.1,88.02539063,254.9613514,46.21,0.98599061,0.717151613
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,veryfast,1444.43,81.79296875,236.9095268,46.87,0.98701233,0.741686908
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,faster,1443.08,81.73535156,236.7427063,46.93,0.986977931,0.744365412
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,fast,1854.42,85.60522461,247.95156,47.91,0.987924803,0.763244569
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,medium,2734.15,90.48815918,262.0947323,47.62,0.988362307,0.760618506
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,slow,5126.99,91.7076416,265.6269979,48.11,0.988776369,0.77255397
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,slower,11850.49,88.65039063,256.7716722,48.33,0.988926169,0.778776353
Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,superfast,395.05,78.32092285,80.72407436,45.52,0.98795,0.614400244
Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,veryfast,513.76,72.26464844,74.48196888,49.24,0.9887,0.661250244
