"","Video.Name","Metric","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion..","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration"
"11","161212_068_Vietnam_1080p96fps.mp4",2.9101808,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,"faster",19.47,146.9918213,4.757061005,40.69303204,0.973037535,0.521797117,1,1.00303860697919,1,1.03190791435558,1,0.969078719223211,0.97202336858283,0.969078719223211
"12","171124_B1_HD_001.mp4",3.0674348,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,"fast",19.59,328.6102295,6.2865448,38.85621611,0.962860133,0.645014728,1.22331477989808,1.32170622530502,1.26471858620106,1.05531630531631,1.17689387315914,1.159192531884,1.2524266124258,1.19842608308984
"13","180301_03_B_CausewayBay_02.mp4",3.1780201,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"slow",37.93,95.10339355,1.470677376,42.78593592,0.976149535,0.704131666,1.89240616601663,1.92478472202407,1.87727309998464,1.40366013071895,1.27653946415572,1.34819399981628,1.37126123332875,1.33741285294119
"14","180301_03_B_CausewayBay_03.mp4",3.0954212,1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"medium",34.17,83.23657227,2.524577141,41.62838711,0.963558281,0.536987699,1.68627857977338,1.8314669321383,1.69385291589939,1.15301582670848,1.46021201329399,1.4624938710401,1.58841439095124,1.46906302295506
"15","180626_07_DMZ_08.mp4",4.5333008,1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,"fast",6.84,419.2156982,3.575533867,34.54986109,0.972105391,0.650818186,1.50113607355422,1.68332262024354,1.53950921025918,1.04205921938089,1,1.44054775931648,1.61538095814137,1.47737209328069
"16","19946059-preview.mp4",3.6303293,596,336,24.94,50,1247,109.8632813,2.681645393,1,0.03798,0.9125,"veryfast",2.55,10.58569336,0.263055801,48.13,0.994056299,0.846509324,1.41860465116279,1.18904601494097,1.16444350449465,1.03905013192612,1,1.36528990043346,1.14435865836117,1.12068077248215
"17","25506602-preview.mp4",3.1262282,596,336,21.76,25,544,109.8632813,2.375465393,1,0.26625,0.95327,"faster",2.14,15.25512695,0.330752373,41.11,0.979362731,0.781710597,1.03472222222222,1.09255125655902,1.14717367785293,1.04741144414169,1,0.987885160134118,1.04309654307273,1.09524646142566
"18","6380351-preview.mp4",3.8094831,596,336,27.695,29.97,830,109.8632813,2.973053932,1,0.15241,0.95402,"faster",2.98,19.21398926,0.530191422,42.6,0.981069194,0.775901501,1.3051948051948,1.35447199477048,1.33840455104261,1.04950495049505,1,1.24362901249694,1.29058180633791,1.27527226089909
"19","720-120fps View.MOV",3.5250802,1280,720,10.625,120,1275,3466.872314,37.75668812,1,0.0819,0.92,"veryfast",14.12,923.3747559,9.775444984,30.1870951,0.918852487,0.501859839,1.22337349487879,1.30528139853289,1.25721001901061,1.02426322641733,1.04853887148946,1.19439365128622,1.27436128220527,1.22742864000701
"20","720-120fps Walking.MOV",3.1019939,1280,720,10.125,120,1215,5566.698608,56.74141026,1,0.426,0.6,"fast",26,1999.579224,20.17266655,27.33784554,0.899214612,0.42754818,1.08063964228909,1.16361265827584,1.10472944126934,1.03533854869166,1.04277222589202,1.04375486033498,1.12389581141963,1.06702241760954
