"","Video.Name","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration","Metric"
"41","180301_03_B_CausewayBay_02.mp4",1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"slow",37.93,95.10339355,1.470677376,42.78593592,0.976149535,0.704131666,1.89240616601663,1.92478472202407,1.87727309998464,1.40366013071895,1.27653946415572,1.34819399981628,1.37126123332875,1.33741285294119,3.1780201
"42","180301_03_B_CausewayBay_02.mp4",1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,"slower",83.55,92.65344238,1.43279171,42.89183114,0.976426293,0.707650481,2,2,2,2,1,1,1,1,3
"43","180301_03_B_CausewayBay_03.mp4",1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"superfast",13.19,87.28100586,2.6472435,41.13411042,0.960735272,0.518288786,1.0644077907389,1,1.04434067931536,1,2,1.0644077907389,1,1.04434067931536,1.5543742
"44","180301_03_B_CausewayBay_03.mp4",1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"veryfast",18.11,79.81970215,2.420940399,41.08291768,0.960889866,0.517012255,1,1.04553290439635,1,1.03588359711181,1.004163029946,0.965359431106104,1.00931504979078,0.965359431106104,2.9278452
"45","180301_03_B_CausewayBay_03.mp4",1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"faster",17.78,79.78845215,2.419994354,41.08609544,0.96091522,0.517077597,1.00399807670186,1.05300047272411,1.00226967356674,1.03347677047626,1,0.971476191225068,1.01889128309952,0.969803775178092,2.9601712
"46","180301_03_B_CausewayBay_03.mp4",1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"fast",23.43,85.68188477,2.598742485,41.45249929,0.962874572,0.529804954,1.46498653906445,1.63009264509023,1.4443581581152,1.07468455984246,1.7865733893671,1.36317817693334,1.51681033300524,1.34398335296352,2.3642868
"47","180301_03_B_CausewayBay_03.mp4",1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"medium",34.17,83.23657227,2.524577141,41.62838711,0.963558281,0.536987699,1.68627857977338,1.8314669321383,1.69385291589939,1.15301582670848,1.46021201329399,1.4624938710401,1.58841439095124,1.46906302295506,3.0954212
"48","180301_03_B_CausewayBay_03.mp4",1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"slow",67.75,82.22302246,2.493833542,41.80293154,0.963777038,0.54310389,1.90588044367208,1.89589790337284,1.9063006071521,1.39792867041062,1.32492614075654,1.36336029442207,1.35621934330594,1.36366085588054,3.0818627
"49","180301_03_B_CausewayBay_03.mp4",1920,1080,30.44,25,761,3809.698242,113.2665501,1,0.2882,0.95,"slower",150.3,81.83288574,2.482002258,41.87773985,0.964130487,0.545801417,2,2,2,2,1.27286308921927,1,1,1,2.3568913
"50","180626_07_DMZ_08.mp4",1920,1080,8.56,25,214,4242.866333,35.80779743,1,0.2749,0.94,"superfast",4.34,444.8372803,3.794063568,33.52871247,0.959503819,0.611321219,1,1,1,1,1.15284943833403,1,1,1,2.6022479
