"","Video.Name","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration","Metric"
"49","gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv",1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.77526,"slower",5203.25,800236,141341939,43.72,0.9925,0.999999984,2,2,2,2,1,1,1,1,3
"50","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"superfast",437.21,809480,136774126,42.63,0.9903,0.999999982,1,1,1,1,2,1,1,1,1.5
"51","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"veryfast",548.84,776776,131248268,42.73,0.99185,0.999999983,1.09090909090909,1.47692307692308,1.50000002775557,1.02825096105908,1.79020313042741,1.0609366119974,1.43634495162726,1.45878786848943,2.2098439
"52","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"faster",549.93,777664,131398375,42.8,0.99185,0.999999983,1.15454545454545,1.47692307692308,1.50000002775557,1.02852681475033,1.79590215105026,1.12252343642175,1.43595972000166,1.45839661761244,2.2366919
"53","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"fast",667.66,796080,134510012,43.04,0.9922,0.999999983,1.37272727272727,1.58461538461537,1.50000002775557,1.05832154417329,1.91403976910817,1.29707958822627,1.49729105803398,1.41733864912228,2.2004294
"54","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"medium",990.99,737583,124625969,43.19,0.99305,0.999999983,1.50909090909091,1.84615384615383,1.50000002775557,1.14014885976256,1.53877835628851,1.32359112248306,1.61922176244451,1.31561770632999,2.76741
"55","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"slow",1629.53,704307,119003477,43.52,0.99335,0.999999984,1.80909090909091,1.93846153846151,2,1.30174850747968,1.32531264276548,1.38973918440936,1.48912138352635,1.5363950782415,3.3314823
"56","gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv",1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.44138,"slower",4388.58,653595,110435039,43.73,0.99355,0.999999984,2,2,2,2,1,1,1,1,3
"57","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"superfast",994.74,47.21081543,136.1260576,46.52,0.985756235,0.722891591,1,1,1,1,2,1,1,1,1.5
"58","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"veryfast",1274.72,41.78442383,120.4797287,47.11,0.986562671,0.747582586,1.24789915966386,1.39220374230483,1.36835242599529,1.03230212955464,1.00018032288372,1.20885070749805,1.34863980461366,1.32553482824416,3.8823253
"59","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"faster",1273.11,41.78344727,120.4769068,47.29,0.986602518,0.75012492,1.3235294117647,1.41158301421188,1.40628021694054,1.0321163790418,1,1.28234512952255,1.3676587668557,1.36252097679731,4.0125249
