,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,Normalized.Size,PSNR.By.Duration,SSIM.By.Duration,VIFp.By.Duration,Metric
65,160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,veryfast,4.72,21.98449707,0.24971962,44.6652567,0.984178115,0.731521357,1.652107719,1.869007687,1.758534491,1.033877039,1,1.597973122,1.807765931,1.700912608,5.1066517
66,160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,faster,4.75,22.00585938,0.249960899,44.65388,0.984169874,0.731572605,1.638595604,1.86574064,1.760877793,1.034818068,1.002274745,1.583462499,1.802964886,1.701630313,5.0765099
67,160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,fast,6.53,25.61523438,0.290960312,44.9338441,0.984508538,0.736802206,1.97110919,2,2,1.090652447,1.388811465,1.807275265,1.83376474,1.83376474,3.9420792
68,160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,medium,9.7,30.20324707,0.343074799,44.86194481,0.984120605,0.730586773,1.885714345,1.846208524,1.715800869,1.190087829,1.880139545,1.584516957,1.551321237,1.44174306,2.4347029
69,160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,slow,15.47,31.32250977,0.355788231,44.94007817,0.984157773,0.731872738,1.9785134,1.860943341,1.7746013,1.371079046,2,1.443033795,1.357283773,1.294309985,2.0473138
70,160416_30_Smartphone2.mov,1920,1080,11.4,25,285,744.5205078,8.478028297,1,0.2605,0.97,slower,35.52,28.43896484,0.323034286,44.95816909,0.984049685,0.731319185,2,1.818093124,1.749290226,2,1.691200397,1,0.909046562,0.874645113,1.6459857
71,161212_068_Vietnam_1080p96fps.mp4,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,superfast,14.12,162.0141602,5.243226051,40.84536715,0.973051863,0.526901736,1.106253623,1.006124598,1.09815581,1,2,1.106253623,1.006124598,1.09815581,1.605267
72,161212_068_Vietnam_1080p96fps.mp4,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,veryfast,19.36,147.1971436,4.763707161,40.69304923,0.973023427,0.52186978,1.00001199,1,1.001397224,1.031251864,1.013670576,0.969706844,0.969695217,0.971050098,2.8712012
73,161212_068_Vietnam_1080p96fps.mp4,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,faster,19.47,146.9918213,4.757061005,40.69303204,0.973037535,0.521797117,1,1.003038607,1,1.031907914,1,0.969078719,0.972023369,0.969078719,2.9101808
74,161212_068_Vietnam_1080p96fps.mp4,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,fast,24.41,152.335083,4.929985046,41.01470508,0.97435041,0.534224246,1.224366701,1.285808038,1.238959051,1.061370549,1.355689991,1.153571391,1.211460069,1.167319982,2.6055746
75,161212_068_Vietnam_1080p96fps.mp4,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,medium,37.11,154.8243408,5.010545731,41.5529815,0.97614533,0.553146732,1.599814094,1.672401208,1.602816165,1.13711457,1.521396444,1.406906688,1.470741165,1.409546766,2.8179339
76,161212_068_Vietnam_1080p96fps.mp4,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,slow,78.44,160.5129395,5.194643021,42.02663309,0.977307188,0.570626873,1.930185718,1.92264432,1.938938684,1.383610664,1.900068854,1.3950353,1.38958478,1.401361477,2.2030684
77,161212_068_Vietnam_1080p96fps.mp4,1920,1080,32.48,25,812,5331.632935,170.3689117,1,0.2236,0.94,slower,181.79,155.397583,5.029092789,42.12672536,0.977666344,0.573802383,2,2,2,2,1.559546159,1,1,1,1.9236366
78,171124_B1_HD_001.mp4,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,superfast,12.14,338.6887207,6.479351044,38.61975867,0.959620108,0.630305495,1.080586604,1,1.012380382,1,1.398661968,1.080586604,1,1.012380382,2.2113756
79,171124_B1_HD_001.mp4,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,veryfast,15.69,320.9060059,6.139155388,38.48625103,0.960262449,0.629583821,1,1.063778859,1,1.026358776,1.007364773,0.974318165,1.036459067,0.974318165,2.9632716
80,171124_B1_HD_001.mp4,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,faster,15.85,320.5712891,6.132752419,38.49209472,0.960309385,0.629809202,1.003527312,1.068439195,1.003866431,1.027546778,1,0.976624456,1.039796161,0.976954483,2.9933751
81,171124_B1_HD_001.mp4,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,fast,19.59,328.6102295,6.2865448,38.85621611,0.962860133,0.645014728,1.22331478,1.321706225,1.264718586,1.055316305,1.176893873,1.159192532,1.252426612,1.198426083,3.0674348
82,171124_B1_HD_001.mp4,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,medium,27.39,345.1856689,6.603644371,39.35000762,0.965760657,0.662173383,1.521372484,1.609702962,1.559076843,1.113231363,1.541625669,1.3666274,1.445973421,1.400496694,2.7328927
83,171124_B1_HD_001.mp4,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,slow,64.19,366.0167236,7.002157211,40.04230284,0.969031002,0.683703397,1.939249097,1.934419699,1.928426154,1.386471636,2,1.398693667,1.395210438,1.390887562,2.0923958
84,171124_B1_HD_001.mp4,1920,1080,19.2,25,480,3680.15271,69.75031185,1,0.2745,0.8,slower,146.82,360.7255859,6.900934219,40.14294872,0.969691486,0.687875561,2,2,2,2,1.88357208,1,1,1,1.5927184
85,180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,superfast,7.05,101.5126953,1.56979084,41.90761842,0.972746748,0.678978568,1,1,1,1,2,1,1,1,1.5
86,180301_03_B_CausewayBay_02.mp4,1920,1080,15.52,25,388,3885.625366,58.90541935,1,0.3227,0.9,veryfast,9.71,94.24035645,1.457331657,41.97715407,0.974268126,0.682685925,1.070651038,1.413469057,1.129302743,1.034771242,1.179124838,1.034674133,1.365972497,1.091354975,2.9615198
