,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration,Metric
30,Apple_2.mp4,1920,1080,30.23,59.94,906,1840.933838,54.36264515,1,0.13714,0.93313,veryfast,18.03,113.9619141,3.434451103,33.82,0.95100361,0.634394721,1.365079365,1.762701395,1.519500692,1.027650081,1.32835037,1.0116585,1.715273932,1.478616817,4.4701262
31,Apple_2.mp4,1920,1080,30.23,59.94,906,1840.933838,54.36264515,1,0.13714,0.93313,faster,18.04,113.7697754,3.428657532,33.82,0.950921229,0.634537278,1.365079365,1.74934555,1.525017652,1.027717685,1.32826299,1,1.702165464,1.483887719,4.5143162
32,Apple_2.mp4,1920,1080,30.23,59.94,906,1840.933838,54.36264515,1,0.13714,0.93313,fast,24.05,116.2498779,3.503401756,33.88,0.951294954,0.636546805,1.46031746,1.809934922,1.602786402,1.068347756,1.366893367,1.150409054,1.694143983,1.50024783,3.9649246
33,Apple_2.mp4,1920,1080,30.23,59.94,906,1840.933838,54.36264515,1,0.13714,0.93313,medium,33.93,128.8236084,3.882334709,34.04,0.951681963,0.64021349,1.714285714,1.872677934,1.744687212,1.135140617,1.510196789,1.912942183,1.649732119,1.536978931,2.4553318
34,Apple_2.mp4,1920,1080,30.23,59.94,906,1840.933838,54.36264515,1,0.13714,0.93313,slow,67.27,130.2591553,3.925597191,34.18,0.952172123,0.645150971,1.936507937,1.952144083,1.935767862,1.36053272,1.423345361,2,1.434838026,1.422801402,2.1404924
35,Apple_2.mp4,1920,1080,30.23,59.94,906,1840.933838,54.36264515,1,0.13714,0.93313,slower,161.86,129.2393799,3.894864082,34.22,0.952467306,0.646810715,2,2,2,2,1,1.93815525,1,1,1.5478636
36,Aquarium.mp4,1920,1080,104.237,29.97,3124,1616.900024,164.6300039,1,0.12358,0.98491,superfast,44.88,68.26928711,7.090499878,43.77,0.984617862,0.757248565,1,1,1,1,1,2,1,1,1.5
37,Aquarium.mp4,1920,1080,104.237,29.97,3124,1616.900024,164.6300039,1,0.12358,0.98491,veryfast,61.23,59.04956055,6.132933617,44.23,0.986685227,0.773075775,1.37398374,1.680838136,1.500450137,1.037667604,1.324107773,1.177839317,1.619823275,1.445983407,3.7270911
38,Aquarium.mp4,1920,1080,104.237,29.97,3124,1616.900024,164.6300039,1,0.12358,0.98491,faster,60.83,59.00146484,6.12793541,44.21,0.986582395,0.772348716,1.357723577,1.646972831,1.477460818,1.036746072,1.309600889,1.173547886,1.588598091,1.425094204,3.6839512
39,Aquarium.mp4,1920,1080,104.237,29.97,3124,1616.900024,164.6300039,1,0.12358,0.98491,fast,76.8,62.10620117,6.450397491,44.42,0.986941728,0.77587893,1.528455285,1.76531072,1.589084792,1.073538221,1.423754884,1.450411906,1.644385534,1.480231222,3.1359172
40,Aquarium.mp4,1920,1080,104.237,29.97,3124,1616.900024,164.6300039,1,0.12358,0.98491,medium,118.23,59.55102539,6.185016632,44.58,0.987207887,0.780305999,1.658536585,1.852963939,1.729066967,1.168985854,1.418782425,1.222557483,1.585103816,1.4791171,3.666906
41,Aquarium.mp4,1920,1080,104.237,29.97,3124,1616.900024,164.6300039,1,0.12358,0.98491,slow,219.28,59.42492676,6.171918869,44.87,0.987409653,0.785855431,1.894308943,1.919410835,1.904537818,1.401787771,1.351352168,1.211311822,1.369259223,1.358649189,3.3676387
42,Aquarium.mp4,1920,1080,104.237,29.97,3124,1616.900024,164.6300039,1,0.12358,0.98491,slower,478.94,57.05529785,5.925805092,45,0.987654362,0.788874513,2,2,2,2,1,1,1,1,3
43,arctic_ice_floating_ice_sheets_619.mp4,1920,1080,10.082,30,301,332.5429688,3.424084663,1,0.04212,0.98894,superfast,3.98,97.98425293,0.979528427,39,0.95411638,0.577830083,1,1,1,1,1,1.554274713,1,1,1.9301607
44,arctic_ice_floating_ice_sheets_619.mp4,1920,1080,10.082,30,301,332.5429688,3.424084663,1,0.04212,0.98894,veryfast,4.92,91.1138916,0.91084671,39.4,0.960333846,0.590056323,1.181818182,1.396452156,1.166098789,1.023803495,1.154340836,1.014838286,1.363984557,1.13898692,3.6038375
45,arctic_ice_floating_ice_sheets_619.mp4,1920,1080,10.082,30,301,332.5429688,3.424084663,1,0.04212,0.98894,faster,4.88,90.92492676,0.908957481,39.4,0.960347119,0.590105124,1.181818182,1.397298499,1.166761772,1.02279058,1.155484031,1,1.366162856,1.140763119,3.66241
46,arctic_ice_floating_ice_sheets_619.mp4,1920,1080,10.082,30,301,332.5429688,3.424084663,1,0.04212,0.98894,fast,6.22,94.6373291,0.946069717,39.62,0.961621596,0.598543176,1.281818182,1.47856459,1.281396378,1.056723221,1.213012221,1.291485025,1.399197595,1.21261306,2.9615697
47,arctic_ice_floating_ice_sheets_619.mp4,1920,1080,10.082,30,301,332.5429688,3.424084663,1,0.04212,0.98894,medium,9.64,101.3116455,1.01279068,40.62,0.967377278,0.632008608,1.736363636,1.845571428,1.736038829,1.143327425,1.518693245,1.815521399,1.614210758,1.518409155,2.561971
