,Video.Name,Metric,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration
31,Buck.mp4,4.639849,1920,1080,40.44,59.94,1212,1627.687866,64.30165005,1,0.36119,0.78551,fast,32.8,301.8353271,12.16216183,29.02,0.857550898,0.458109015,1.5625,1.903738861,1.626490531,1.044451195,1.496000969,1.050893247,1.822716916,1.557268103
32,Buoy.mp4,2.9891202,1920,1080,34.868,59.94,1045,1696.059937,57.76984024,1,0.05502,0.85115,faster,22.11,283.0236816,9.832847595,34.75,0.887031149,0.425923232,1,1.049336236,1.024921893,1.026759516,0.973937893,1.001678166,1.021988323,0.998210269
33,Buoy_2.mp4,3,1920,1080,31.398,29.97,941,1612.373901,49.45098591,1,0.11151,0.94059,slower,357.52,399.3950195,12.49494553,39.99,0.976929275,0.718910781,2,2,2,2,1,1,1,1
34,Cabernet_franc.mp4,4.1008076,1920,1080,33.4,59.94,1001,1666.586182,54.37610435,1,0.05264,0.97836,faster,16.89,83.95227051,2.793886185,39.33,0.973787113,0.73694697,1.104166667,1.71787121,1.381827312,1.02513104,1.077098071,1,1.675757677,1.347951879
35,Canyon_3.mp4,4.424022,1920,1080,30.13,29.97,903,1483.571167,43.66417313,1,0.05062,0.98082,fast,22.98,364.6308594,10.94667435,34.42,0.947492726,0.618389814,1.525,1.59425549,1.494978557,1.03668298,1.471037944,1.00608893,1.537842832,1.442078808
36,Capricorn.mp4,3.8517568,1920,1080,44.077,29.97,1321,1588.227051,68.38088608,1,0.37452,0.90555,fast,44.12,328.9777832,14.44801617,36.44,0.965156896,0.666433449,1.438271605,1.65785562,1.528963986,1.051013397,1.368461723,1.142492078,1.577387713,1.454752137
37,Cat.mp4,3.9741744,1920,1080,39.172,29.97,1174,1493.910034,57.16354752,1,0.07102,0.99003,faster,18.38,65.87451172,2.571123123,40.19,0.970560128,0.691532197,1.347457627,1.470552086,1.244023878,1.022107539,1.318312972,1,1.438744975,1.21711643
38,Cherry_tomatoes_1.mp4,4.3647531,1920,1080,30.797,29.97,923,1752.190796,52.71015549,2,0.15071,0.8516,veryfast,16.15,47.13574219,1.446398735,42.26,0.978029886,0.733843904,1.425,1.661015249,1.418075181,1.028447846,1.385583145,1.003379329,1.615069987,1.378849873
39,Cherrys.mp4,3.9142134,1920,1080,30.531,29.97,915,1719.617554,51.2821312,1,0.1141,0.9855,faster,19.87,118.9190674,3.617493629,40.35,0.977076864,0.702362272,1.225165563,1.486786826,1.29683965,1.024162885,1.196260459,1,1.45170934,1.266243553
40,Chilling.Adventures.of.Sabrina.S02E01.iNTERNAL.1080p.WEB.X264-AMRAP.mkv,4.4587142,1920,1080,3312.032,23.976,79402,385.7421875,1488.880928,4,0.07649,0.93208,veryfast,1304.11,30.22839355,99.74694729,50.56,0.99445,0.720850211,1.527349229,1.548387097,1.527881856,1.032499042,1.479274233,1,1.499649911,1.479790096
