frame,value
775,0.557208
776,0.500192
777,0.535193
778,0.531154
779,0.490815
780,0.556119
781,0.546791
782,0.539892
783,0.452938
784,0.488586
785,0.519400
786,0.499200
787,0.515773
788,0.435217
789,0.483158
790,0.564216
791,0.527681
792,0.503331
793,0.471057
794,0.424699
795,0.461584
796,0.477238
797,0.489747
798,0.475569
799,0.465178
800,0.490045
801,0.467511
802,0.467766
803,0.451266
804,0.453105
805,0.465383
806,0.415891
807,0.428236
808,0.431691
809,0.417387
810,0.513258
811,0.457865
812,0.405919
813,0.437587
814,0.442143
815,0.527586
816,0.454335
817,0.409065
818,0.430806
819,0.431227
820,0.526064
821,0.440808
822,0.414405
823,0.411758
824,0.432505
825,0.464589
826,0.429087
827,0.470039
828,0.452617
829,0.454633
830,0.494189
831,0.429757
832,0.430478
833,0.434395
834,0.478867
835,0.501415
836,0.422059
837,0.408961
838,0.431937
839,0.429809
840,0.463201
841,0.437707
842,0.457098
843,0.461708
844,0.440405
845,0.488950
846,0.454254
847,0.425078
848,0.431420
849,0.470568
850,0.492772
851,0.409230
852,0.418086
853,0.450321
854,0.470907
855,0.477038
856,0.446899
857,0.444051
858,0.445795
859,0.455690
860,0.473983
861,0.445003
862,0.458775
863,0.439056
864,0.439219
865,0.499040
866,0.470094
867,0.454139
868,0.463255
869,0.452624
870,0.491293
871,0.469236
872,0.449039
873,0.460450
874,0.462190
875,0.472912
876,0.452309
877,0.460107
878,0.467308
879,0.483548
880,0.495992
881,0.470334
882,0.470433
883,0.440080
884,0.431629
885,0.510586
886,0.466026
887,0.461511
888,0.441612
889,0.473053
890,0.517365
891,0.492176
892,0.468109
893,0.485481
894,0.492990
895,0.522024
896,0.496334
897,0.459855
898,0.455910
899,0.460882
900,0.524758
901,0.500795
902,0.475683
903,0.448994
904,0.474473
905,0.510900
906,0.493644
907,0.496783
908,0.451509
909,0.468796
910,0.524178
911,0.441604
912,0.466847
913,0.459561
914,0.446007
915,0.489689
916,0.474006
917,0.464727
918,0.438310
919,0.471123
920,0.499018
921,0.456046
922,0.448140
923,0.485323
924,0.481768
925,0.500544
926,0.439994
927,0.450442
928,0.457887
929,0.460900
930,0.534869
931,0.495192
932,0.512519
933,0.519934
934,0.522782
935,0.545680
936,0.506195
937,0.509375
938,0.510015
939,0.504069
940,0.537104
941,0.505979
942,0.503942
943,0.506933
944,0.522625
945,0.555797
946,0.480269
947,0.482008
948,0.505224
949,0.487058
950,0.503052
951,0.496326
952,0.493890
953,0.496837
954,0.494673
955,0.526208
956,0.494112
957,0.495460
958,0.502826
959,0.505185
960,0.508519
961,0.498184
962,0.494805
963,0.498545
964,0.509162
965,0.522909
966,0.478884
967,0.474801
968,0.508599
969,0.514267
970,0.530682
971,0.468964
972,0.479348
973,0.470394
974,0.466278
975,0.528798
976,0.512042
977,0.496968
978,0.490042
979,0.498199
980,0.529471
981,0.448766
982,0.457117
983,0.478855
984,0.475134
985,0.525802
986,0.497865
987,0.431752
988,0.426603
989,0.450473
990,0.537155
991,0.494325
992,0.492519
993,0.483884
994,0.463186
995,0.548034
996,0.509709
997,0.491824
998,0.501035
999,0.507197
1000,0.635280
1001,0.522814
1002,0.456216
1003,0.457174
1004,0.482282
1005,0.517192
1006,0.501108
1007,0.498336
1008,0.496952
1009,0.463786
1010,0.494619
1011,0.490216
1012,0.492849
1013,0.496890
1014,0.514707
1015,0.535656
1016,0.480974
1017,0.460558
1018,0.481074
1019,0.479277
1020,0.502177
1021,0.462837
1022,0.458033
1023,0.463196
1024,0.469532
1025,0.519392
1026,0.497696
1027,0.501899
1028,0.491781
1029,0.466598
1030,0.533678
1031,0.472813
1032,0.465174
1033,0.465818
1034,0.453534
1035,0.493593
1036,0.456990
1037,0.450125
1038,0.424057
1039,0.428731
1040,0.489037
1041,0.470589
1042,0.474007
1043,0.475007
1044,0.488413
1045,0.527096
1046,0.502937
1047,0.454006
1048,0.395756
1049,0.401966
1050,0.561987
1051,0.550050
1052,0.512244
1053,0.500003
1054,0.494146
1055,0.523837
1056,0.514270
1057,0.504679
1058,0.498856
1059,0.488134
1060,0.494559
1061,0.464104
1062,0.474250
1063,0.484671
1064,0.496680
1065,0.534469
1066,0.488416
1067,0.490487
1068,0.499992
1069,0.513615
1070,0.550486
1071,0.507960
1072,0.512920
1073,0.522667
1074,0.531416
1075,0.569660
1076,0.526570
1077,0.518752
1078,0.500939
1079,0.464022
1080,0.511819
1081,0.499861
1082,0.500049
1083,0.499063
1084,0.489952
1085,0.510065
1086,0.505206
1087,0.503627
1088,0.511127
1089,0.540820
1090,0.563060
1091,0.520974
1092,0.508688
1093,0.511359
1094,0.521358
1095,0.546603
1096,0.518899
1097,0.527686
1098,0.529982
1099,0.530926
1100,0.549608
1101,0.507202
1102,0.505349
1103,0.506081
1104,0.515050
1105,0.553938
1106,0.458656
1107,0.417110
1108,0.434162
1109,0.436782
1110,0.498641
1111,0.463030
1112,0.440020
1113,0.442728
1114,0.446437
1115,0.524457
1116,0.514440
1117,0.500717
1118,0.509851
1119,0.543008
1120,0.565054
1121,0.497510
1122,0.496050
1123,0.516582
1124,0.520710
1125,0.553191
1126,0.455703
1127,0.433744
1128,0.465962
1129,0.484574
1130,0.530502
1131,0.499797
1132,0.502632
1133,0.519048
1134,0.522880
1135,0.558000
1136,0.492085
1137,0.443643
1138,0.455746
1139,0.479138
1140,0.514594
1141,0.490213
1142,0.479990
1143,0.489415
1144,0.483181
1145,0.502275
1146,0.475284
1147,0.468909
1148,0.460147
1149,0.477426
1150,0.515406
1151,0.469975
1152,0.452928
1153,0.463258
1154,0.487449
1155,0.524851
1156,0.451659
1157,0.458395
1158,0.470579
1159,0.488016
1160,0.515163
1161,0.479972
1162,0.472436
1163,0.474400
1164,0.483548
1165,0.508492
1166,0.479863
1167,0.457841
1168,0.464103
1169,0.469535
1170,0.489639
1171,0.471033
1172,0.467845
1173,0.446770
1174,0.464620
1175,0.510270
1176,0.487612
1177,0.467238
1178,0.481569
1179,0.488228
1180,0.516168
1181,0.501478
1182,0.490787
1183,0.491009
1184,0.507369
1185,0.519441
1186,0.499539
1187,0.487884
1188,0.495164
1189,0.497168
1190,0.510558
1191,0.472859
1192,0.463464
1193,0.447143
1194,0.450686
1195,0.482859
1196,0.450945
1197,0.418786
1198,0.429623
1199,0.441010
1200,0.532554
1201,0.472621
1202,0.461461
1203,0.431668
1204,0.463312
1205,0.512452
1206,0.461857
1207,0.434156
1208,0.451027
1209,0.471350
1210,0.507308
1211,0.455890
1212,0.452205
1213,0.445845
1214,0.456993
1215,0.498281
1216,0.457619
1217,0.438498
1218,0.445456
1219,0.453406
1220,0.491595
1221,0.459413
1222,0.437390
1223,0.447291
1224,0.453737
1225,0.481015
1226,0.460769
1227,0.456401
1228,0.461401
1229,0.435828
1230,0.501716
1231,0.485527
1232,0.469237
1233,0.459220
1234,0.466172
1235,0.504677
1236,0.456861
1237,0.449816
1238,0.442835
1239,0.448225
1240,0.504201
1241,0.465488
1242,0.422449
1243,0.435250
1244,0.463080
1245,0.502852
1246,0.469932
1247,0.455218
1248,0.489523
1249,0.529504
1250,0.616266
1251,0.537082
1252,0.505908
1253,0.499647
1254,0.490058
1255,0.494519
1256,0.468868
1257,0.456788
1258,0.458020
1259,0.466589
1260,0.539028
1261,0.507058
1262,0.455330
1263,0.472015
1264,0.478747
1265,0.528520
1266,0.497011
1267,0.462505
1268,0.466382
1269,0.478375
1270,0.496339
1271,0.441326
1272,0.441609
1273,0.442168
1274,0.460006
1275,0.496412
1276,0.438873
1277,0.426543
1278,0.456375
1279,0.468665
1280,0.503029
1281,0.457665
1282,0.457681
1283,0.453896
1284,0.455018
1285,0.477170
1286,0.462526
1287,0.459029
1288,0.442836
1289,0.435892
1290,0.490000
1291,0.461093
1292,0.444654
1293,0.451695
1294,0.456985
1295,0.492661
1296,0.448557
1297,0.442935
1298,0.435366
1299,0.456935
1300,0.487043
1301,0.457714
1302,0.449309
1303,0.448112
1304,0.457527
1305,0.490600
1306,0.459524
1307,0.443818
1308,0.441052
1309,0.452229
1310,0.488498
1311,0.457959
1312,0.422058
1313,0.434188
1314,0.421159
1315,0.477409
1316,0.446350
1317,0.418800
1318,0.430943
1319,0.425242
1320,0.465687
1321,0.445429
1322,0.428362
1323,0.434830
1324,0.451339
1325,0.481052
1326,0.418825
1327,0.404282
1328,0.416564
1329,0.421804
1330,0.445966
1331,0.417164
1332,0.415231
1333,0.400017
1334,0.411626
1335,0.451643
1336,0.386108
1337,0.391320
1338,0.410023
1339,0.424720
1340,0.456424
1341,0.392909
1342,0.406291
1343,0.382449
1344,0.379603
1345,0.464608
1346,0.418165
1347,0.371591
1348,0.381596
1349,0.384191
1350,0.425160
1351,0.396528
1352,0.383870
1353,0.377723
1354,0.406740
1355,0.444987
1356,0.368836
1357,0.411366
1358,0.431842
1359,0.396543
1360,0.454952
1361,0.429051
1362,0.358623
1363,0.373198
1364,0.387739
1365,0.421063
1366,0.409003
1367,0.354483
1368,0.374300
1369,0.360000
1370,0.430049
1371,0.399750
1372,0.383212
1373,0.372247
1374,0.393054
1375,0.439544
1376,0.421665
1377,0.386645
1378,0.403479
1379,0.425603
1380,0.438458
1381,0.415524
1382,0.403296
1383,0.403471
1384,0.401145
1385,0.413563
1386,0.392841
1387,0.396456
1388,0.388194
1389,0.396408
1390,0.439815
1391,0.393956
1392,0.389157
1393,0.430378
1394,0.474571
1395,0.523061
1396,0.406838
1397,0.409162
1398,0.413025
1399,0.441019
1400,0.484005
1401,0.440988
1402,0.450162
1403,0.456355
1404,0.453346
1405,0.495957
1406,0.463877
1407,0.475045
1408,0.483686
1409,0.482676
1410,0.548626
1411,0.517900
1412,0.500269
1413,0.510900
1414,0.527168
1415,0.561099
1416,0.522068
1417,0.514482
1418,0.520875
1419,0.516664
1420,0.570333
1421,0.558314
1422,0.546538
1423,0.545997
1424,0.513836
1425,0.548056
1426,0.548130
1427,0.494158
1428,0.513353
1429,0.559224
1430,0.577583
1431,0.537390
1432,0.546346
1433,0.547145
1434,0.560086
1435,0.575708
1436,0.541428
1437,0.523432
1438,0.519393
1439,0.532843
1440,0.588766
1441,0.551856
1442,0.547732
1443,0.532844
1444,0.546598
1445,0.573815
1446,0.555324
1447,0.551789
1448,0.556868
1449,0.561683
1450,0.572478
1451,0.535035
1452,0.531898
1453,0.547552
1454,0.561979
1455,0.574881
1456,0.561290
1457,0.559601
1458,0.560688
1459,0.554681
1460,0.596875
1461,0.597052
1462,0.594383
1463,0.588503
1464,0.595558
1465,0.613347
1466,0.605317
1467,0.601795
1468,0.595951
1469,0.601089
1470,0.612362
1471,0.605370
1472,0.607674
1473,0.610459
1474,0.613234
1475,0.626160
1476,0.619816
1477,0.612297
1478,0.617037
1479,0.617599
1480,0.629573
1481,0.622900
1482,0.617100
1483,0.620091
1484,0.623257
1485,0.631532
1486,0.622544
1487,0.622110
1488,0.618308
1489,0.626490
1490,0.632989
1491,0.619797
1492,0.618578
1493,0.615804
1494,0.618408
1495,0.623999
1496,0.631700
1497,0.628988
1498,0.620192
1499,0.616886
1500,0.657762
1501,0.640805
1502,0.627841
1503,0.609953
1504,0.608872
1505,0.606268
1506,0.578083
1507,0.578945
1508,0.584517
