Video.Name,Metric,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Average Intensity,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,Normalized.Size,PSNR.By.Duration,SSIM.By.Duration,VIFp.By.Duration
birds_tweeting_bathing_river_water_680.mp4,5.8902909,1920,1080,32.044,29.97,960,511.9628906,16.42278481,1,0.42221,0.411627261,0.77508,faster,24.75,363.5404053,11.60289478,22.71,0.649715684,0.179629867,2,2,2,1.016634571,1.001958274,1.967275221,1.967275221,1.967275221
bumblebee credits.mkv,2.9927683,1920,1080,185.018,24,4435,1095.494629,68.9848299,2,0.10098,0.487713818,0.93871,fast,499.03,34.19726563,6.302868843,47.27,0.993475,0.781521694,1.987341772,2,1.998194876,2,1,0.993670886,1,0.999097438
bumblebee scene 1.mkv,3.2547585,1920,1080,163.412,24,3918,1095.494629,218.0718145,17,0.18279,0.157611388,0.62345,faster,107.83,165.0507813,26.87425613,42.96,0.977558464,0.505841462,1.150793651,1.184306595,1.129802349,1.027378004,1.036196198,1.120126815,1.152746692,1.099694898
bumblebee scene 2.mkv,3.8959223,1920,1080,486.861,24,11672,1095.494629,720.5618916,21,0.29039,0.75,0.76157,faster,348.21,209.0810547,101.4174623,41.37,0.961163662,0.439522347,1.28,1.335754446,1.389528351,1.028070507,1,1.245050793,1.299282916,1.351588574
bumblebee scene 3.mkv,3.5734785,1920,1080,300.633,24,7207,1095.494629,372.2027903,9,0.30004,0.171315209,0.86504,faster,164.65,130.0430908,38.94882965,40.98,0.961699906,0.55468763,1.179245283,1.354920967,1.135627818,1.026952882,1,1.148295412,1.319360402,1.105822709
bumblebee scene 4.mkv,3,1920,1080,240.323,24,5762,1095.494629,259.594182,7,0.10222,0.221757289,0.79566,fast,893.2,43.70129395,10.46455765,45.65,0.983165069,0.366941008,2,2,2,2,1,1,1,1
bumblebee scene 5.mkv,3.46472,1920,1080,241.574,24,5792,1095.494629,306.4209423,8,0.10642,0.302630891,0.86911,faster,111.6,36.81933594,8.862512589,43.1,0.974390241,0.510520047,1.214285714,1.322157617,1.134431687,1.033541903,1.02511685,1.174878068,1.279249165,1.097615572
Burgos  Spain- A Virtual Day in the Pedestrian Precinct (Short version 720p).mp4,4.5432836,1280,720,325.023,29.97,9741,305.1757813,103.2941685,4,0.3202,0.675833768,0.94195,faster,98.3,74.94750977,24.27179813,67,0.981036941,0.719567894,2,1.504255504,1.162086542,1.027085786,1,1.947257014,1.46458604,1.131440584
byger-20030708-liten.avi,2.9561368,1024,576,121.48,25,3037,374.2772217,44.47452354,5,0.31566,0.245176623,0.95733,fast,43.77,61.93444824,7.496641159,39.31919256,0.955238392,0.552932302,1.101904506,1.125623866,1.075672984,1.061431469,1.052733802,1.038130617,1.060477194,1.013417272
cat_feline_animal_pet_house_cat_427.mp4,4.8547825,1920,1080,14.84,50,742,328.3735352,4.76262188,1,0.09753,0.861755944,0.99188,veryfast,11.05,52.44091797,0.775415421,41.09,0.975964152,0.72229242,1.592178771,1.804637965,1.628795369,1.030921138,1.004138794,1.54442344,1.750510197,1.579941771
credit-Ralph.Breaks.the.Internet.2018.1080p.BluRay.x264-SPARKS.avi,5.2658952,1920,808,61.248,30,1468,764.5021973,47.17855263,1,0.18853,0.640797381,0.67046,faster,16.92,48.84777832,2.977091789,15.62478597,0.642175457,0.033994872,1.752894885,2,1.642393086,1.020338752,1.004148711,1.717953847,1.960133333,1.609654717
credit-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,5.3105593,1920,798,60.024,30,1438,1265.165161,75.48967361,1,0.08508,0.668956815,0.33618,fast,19.92,85.53283691,5.106376648,14.60618255,0.80915096,0.1062746,1.906521343,2,1.625541663,1.041710051,1,1.830184265,1.919920038,1.560455005
Cutted_wood.mp4,4.354105,1920,1080,33.534,29.97,1005,1564.610596,51.25009632,1,0.32662,0.28885927,0.91732,faster,19.47,99.12243652,3.311873436,42.79,0.980826116,0.777456176,1.383333333,1.609301371,1.473708171,1.025404569,1.000363672,1.349061019,1.569430661,1.437196805
Day Drive (inverted) 1080p30.mp4,3.3439063,1920,1080,31.192,29.97,935,1464.875,45.00297832,1,0.35276,0.434892296,0.89519,faster,31.66,359.4970703,11.19874859,27.2,0.911827023,0.583851097,1.166666667,1.20262594,1.023504703,1.014620939,1,1.149854711,1.185295803,1.008755747
deer_animal_food_eating_bushes_474.mp4,3.7156948,1920,1080,16.725,23.976,400,1217.440796,20.53606033,1,0.0584,0.835527195,0.9918,veryfast,7.55,128.4077148,2.139866829,37.77,0.962369561,0.687455635,1.353932584,1.553226588,1.383354743,1.018852999,1.133333569,1.328879225,1.524485465,1.357756952
dock_jetty_pier_boy_teen_teenager_453.mp4,4.2615626,1920,1080,12.08,25,302,430.9847412,5.086317062,1,0.02205,0.872837881,0.99152,veryfast,5,100.2875977,1.207101822,38.77,0.970117085,0.664419619,1.409090909,1.539788961,1.413323894,1.023087687,1.000516414,1.377292414,1.505041045,1.381429874
dog_canine_walk_pet_park_estray_804.mp4,4.3790137,1920,1080,10.444,29.97,313,483.1779785,4.932394028,1,0.1942,0.497793478,0.9214,veryfast,6.59,132.3745117,1.377397537,41.31,0.973528873,0.692930879,1.427710843,1.631919492,1.437461008,1.026964433,1,1.390224235,1.589071091,1.399718394
dog_pet_canine_white_sitting_lying_433.mp4,4.9361663,1920,1080,14.68,50,734,319.2976074,4.581183434,1,0.07462,0.72168104,0.98766,faster,11.84,93.3762207,1.365815163,41.49,0.9763184,0.660682645,1.58,1.847945412,1.665103463,1.029820436,1.001905028,1.534248054,1.79443459,1.616887182
duck_family_ducks_series_water_831.mp4,2.9242567,1920,1080,8.192,25,204,1904.912231,15.31263065,1,0.04961,0.853108155,0.90667,faster,7.44,317.0212402,2.577555656,30.34,0.955200447,0.559525268,1,1,1.004916582,1.027583054,1,0.973157348,0.973157348,0.977941956
espresso_coffee_coffee_machine_555.mp4,4.3301956,1920,1080,66.624,29.97,1994,551.8309326,37.71563339,1,0.18735,0.709498635,0.97048,faster,41.41,70.84179688,4.696300507,43.8,0.987198448,0.772341416,1.354609929,1.671068073,1.459792201,1.035858556,1,1.307717082,1.613220321,1.409258236
espresso_coffee_ristretto_443.mp4,3.6421323,1920,1080,16.9,50,845,325.3530273,5.374081612,1,0.02118,0.626337449,0.98953,fast,25.5,27.94995117,0.470648766,47.34,0.993665265,0.757401716,1.666666667,1.885694147,1.814863587,1.204232534,1.223724569,1.38400734,1.565888725,1.507070715
fight1-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,3.5146937,1920,798,58.68,30,1406,2130.918457,123.325243,14,0.19698,0.023150589,0.46947,fast,73.74,141.8182373,8.27829361,17.09416927,0.767542293,0.128498674,2,1.845217714,1.713570892,1.104876089,1.431459633,1.810157736,1.67006756,1.550916803
fight2-FRobin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,3.326763,1920,798,52.8,30,1264,2116.720703,110.1729431,10,0.24131,0.122806691,0.46774,fast,69.58,192.5786133,10.10593224,16.3557894,0.746173515,0.133098354,2,1.915652619,1.675929733,1.095627913,1.534086246,1.825437246,1.748451821,1.529652278
fight3-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,3.6967175,1920,798,58.128,30,1394,1834.600098,105.4683132,3,0.39492,0.284431978,0.60618,faster,39.75,129.0269775,7.467352867,16.91890071,0.748237369,0.121243919,1.086615413,1.982861394,1.341529523,1.023264886,1.166093431,1.061910193,1.937779182,1.311028592
Forest_Slice.mov,4.3498616,1920,1080,10,25,250,4367.943115,42.79103088,1,0.18416,0.877462506,0.95512,faster,5.14,108.8154297,1.084226608,40.17506241,0.971082554,0.719036996,1.325424334,1.693973267,1.42983146,1.022843823,1,1.295822788,1.656140682,1.397898123
FroggerHighway.mp4,3.8837202,1920,1080,51.833,24,1243,5493.125,274.4662342,1,0.09169,0.567772657,0.8476,fast,72.9,23.85925293,1.232496262,45.16231011,0.986221776,0.607262797,1.783157249,1.752594307,1.835948146,1.38313253,1,1.289216478,1.267119577,1.327384113
gravity.falls.s02e18.1080p.bluray.x264-taxes.mkv,3.1532798,1920,1080,1384.95,23.976,33204,640.625,1115.5765,157,0.34283,0.388303298,0.77526,fast,1988.14,873310,154248671,43.52,0.99225,0.999999984,1.816513761,1.923076923,2,1.318447088,1.380561358,1.377767662,1.458592416,1.516936113
gravity.falls.s02e19.1080p.bluray.x264-taxes.mkv,3.3314823,1920,1080,1324.896,23.976,31764,677.9785,1115.6447,209,0.12441,0.178336383,0.44138,fast,1629.53,704307,119003477,43.52,0.99335,0.999999984,1.809090909,1.938461538,2,1.301748507,1.325312643,1.389739184,1.489121384,1.536395078
gravity.falls.s02e20.1080p.bluray.x264-taxes.mkv,3.2213641,1920,1080,2638.998,23.976,63271,683.3496094,2238.944418,341,0.30173,0.182000814,0.72078,fast,3579.13,95.43383789,250.9341545,43.93,0.99275,0.999999985,1.955752212,1.90625,2,1.315480239,1.383317403,1.486721088,1.449090562,1.520357311
guitarist_music_man_boy_guitar_355.mp4,3.5771768,1280,720,25.472,23.976,610,265.3000488,6.610398293,1,0.29482,0.424769857,0.7222,faster,9.15,56.63024902,1.435584068,41.76,0.979751231,0.694354744,1.093220339,1.455173499,1.174372312,1.040699523,1,1.05046684,1.398264789,1.128445134
Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv,4.0125249,1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.617345286,0.91085,faster,1273.11,41.78344727,120.4769068,47.29,0.986602518,0.75012492,1.323529412,1.411583014,1.406280217,1.032116379,1,1.28234513,1.367658767,1.362520977
Hanna.S01E02.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,3.962761,1920,1080,2829.888,23.976,67849,991.6379395,2957.839188,6,0.14592,0.617345286,0.9214,veryfast,1306.29,48.23986816,136.0198078,47.16,0.985112388,0.749888439,1.291079812,1.40147787,1.409631685,1.031853105,1.003228702,1.25122443,1.35821452,1.366116629
Hanna.S01E03.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,4.0950167,1920,1080,3244.608,23.976,77792,841.22229,2914.625203,28,0.15969,0.617345286,0.89063,veryfast,1504.09,46.00524902,148.7287016,47.34,0.989450375,0.751174409,1.383928571,1.431119123,1.45255234,1.03276514,1.009082012,1.340022545,1.385715946,1.40646918
Hanna.S01E04.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,4.1291725,1920,1080,3346.336,23.976,80231,863.9609375,3080.326667,8,0.11543,0.617345286,0.89928,veryfast,1425.37,29.54284668,98.50241852,47.33,0.989827146,0.750951456,1.370044053,1.469167017,1.424338624,1.031758172,1.000761039,1.327873226,1.423945123,1.380496576
Hanna.S01E05.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,4.162854,1920,1080,3244.896,23.976,77799,780.2791748,2721.863653,17,0.13023,0.617345286,0.91311,veryfast,1440.67,37.46948242,121.144351,47.34,0.990251938,0.75086974,1.384259259,1.491889268,1.438235616,1.032988156,1.003303413,1.34005337,1.444246248,1.392306008
